"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31"
"RMRP",5.2431225068,2.2490977173,5.0702396977,4.8867508616,4.3879605707,2.5880986338,3.7771679755,3.5355548943,4.8529189668,2.6584968654,2.3713228855,3.4229940242,6.2313987773,2.1630438296,3.1242838923,5.6453886363,5.4211648502,2.4369188831,4.802131137,2.5297431129,4.7945886258,5.5994186362,4.4720969303,2.3895993845,2.8931555844,2.4625074925,2.7668984192,2.6216598548,3.5160090998,2.1908422427,4.6206065293
"PHF7",3.8475863706,2.4536126459,2.3358385807,5.3986469512,2.3308393586,3.0276301997,3.4388303912,3.6145009685,2.23735384,4.9297660374,6.342947947,4.0819855297,2.9796587987,5.0271280304,5.3170858086,2.6811395291,3.4767313129,3.3714627407,5.7331295555,3.2651011143,4.7073641052,2.7581400081,2.9774761857,3.5429860217,4.3559950713,5.4123151066,4.888992764,3.2334517877,4.0010239607,4.3244764278,8.232573041
"LOC651450",7.0636405963,7.3904921457,6.3176112637,7.5926038023,7.1425507779,7.4606218782,7.2352618626,7.2211073251,7.194457762,7.3029847471,6.9201389882,6.8247689351,6.4841746812,8.0978110203,6.9836366074,6.7118037049,6.8168537376,5.8906342413,6.9201389882,7.0533940683,6.8266828838,7.078567402,6.493062843,7.633360778,6.8113077287,7.381931315,6.8488417647,6.6553107572,7.9133880082,7.4068399921,6.9773038704
"BCAP29",7.8324072784,6.8346919399,7.8763832893,8.4210969967,7.6134075931,7.3577720858,7.2805998215,6.5764282598,6.9454986872,6.8368073743,8.3813253331,7.1009621866,7.3726011536,6.9553323695,6.7998492843,8.1157620614,8.1980208055,6.9322521411,6.9912296432,7.5970938172,7.9677053599,7.716152199,7.2524310061,6.2309097695,7.2879765717,7.3233633452,7.6875226219,7.2123426069,7.2671373865,6.6021879161,7.6924145718
"PAPD4",3.6718070073,4.634617864,5.3798814789,4.619076115,4.283302806,4.8653811146,5.018709881,5.634644866,3.7660469487,4.4748336015,4.2893485505,4.9520108939,4.6148984265,5.015540003,4.257388116,4.3470352586,4.8503358134,4.5213932608,4.4031802995,4.7479047156,5.5049640889,4.9280479571,4.3910592129,4.6331866505,4.1374550606,3.5326185432,3.2474699892,5.21218137,3.9761002315,4.9991119292,3.7607330672
"SLC17A3",4.7265435785,4.8744294004,3.699682029,3.9896613821,3.5926270215,4.1039381562,5.1573784107,4.038663287,3.0027799841,3.8690661657,4.4984056876,4.0726017367,3.2581543637,3.4257643646,3.5603727813,3.4251344584,3.7282057238,3.2392449482,4.4031802995,5.1233908435,4.1945143849,5.2619564063,3.5614347512,4.0426728009,5.3882130939,4.939503693,3.7603093339,3.1750282399,3.5682073223,3.6271134921,3.4196224326
"ATP6V1C2",8.2696639062,9.0002589566,9.1485883601,9.412227307,9.384855246,9.1771334863,8.5504795965,9.2580226599,9.4025535101,8.8775083434,9.1352479005,9.1252221047,9.2426145877,8.1993965857,9.1239247505,8.7620390319,8.9910700872,9.3735502465,9.3499345014,9.1337097885,9.5061443988,8.880070638,9.2508386346,8.8953553138,8.4549937403,8.54138731,8.4966645578,9.6653781416,8.3626123712,9.0661332356,8.9551411933
"ZNF768",3.4534045149,4.1779064771,5.5124580577,4.1432019783,5.178669658,2.5880986338,4.6834999479,4.864378897,4.5370725715,4.7529735114,4.4720969303,3.9484247916,4.6922851314,5.52065935,3.4356750056,5.0922208584,5.6841990995,3.6490511253,3.6313499414,4.5476159717,4.086816426,4.8717352906,4.7712667667,4.3749184711,5.1000658819,4.2557809969,4.9063332601,4.3313633062,4.5227459048,3.8066385524,5.1739090181
"F3",9.0724239276,9.0754653745,8.9110067878,8.7860005936,8.82935177,9.2375289912,8.5286404639,8.8034670479,9.1807608883,9.2508386346,9.1720801228,9.0761368546,9.2271069073,8.9577090865,9.1091473771,9.7150356492,10.5666477944,8.7700708447,9.0813512267,8.2808374858,7.6561744209,8.3273203999,9.366855917,9.6128341874,8.230328047,9.7522654742,9.441648523,8.3124537949,9.2558261309,9.3715122352,9.8763151093
"SLC5A10",7.4820621319,6.8529379226,5.4913849211,4.9526361043,4.4098694905,5.5000451552,6.7123666709,6.6252060905,5.0291543415,6.009327579,5.7199404243,6.6548471859,5.4459047745,5.5161486928,6.7057440365,5.862427518,6.1258410426,6.269191392,5.9400882716,6.5274771959,6.1399765723,6.5805622565,5.321063012,7.3885435282,7.0621925506,6.7596160544,6.8288978537,5.4570335809,5.3810174417,6.7600403629,5.2275459587
"NLRP3",6.005537538,6.7225800186,7.9756289857,7.9058320461,9.422714242,7.7208887352,7.9265179315,6.9015464133,8.0830228397,7.6420581926,8.778893581,7.4467754408,10.3998113375,6.6532747861,7.9244637899,10.1098000048,12.8305097289,7.2031415364,6.6887065044,8.6365297116,7.428570766,6.8090741807,9.0953090466,8.0583126297,7.9090496579,8.4835522557,7.6030938159,8.9315736502,9.2774976987,7.7563121314,8.4702959182
"CYTH4",5.6666202435,5.9647091228,6.2782064843,5.8039506658,5.867528176,5.3343808006,5.909225859,6.1240027998,5.9409504938,6.1232192687,6.1865443076,6.4234791816,5.5273437872,5.9490322884,5.9593973046,5.5202364767,5.5579381047,5.4004586242,5.6089696886,6.6753285365,4.8348736397,5.5843211824,5.7376815128,5.7339140453,5.5339058609,5.988303246,5.5600841565,6.7047883605,5.8372117671,6.0751936232,6.0714403079
"RAB4B",5.7618340574,3.7963561937,6.8565094979,6.7852379163,4.7497784193,3.305884558,3.1964801553,3.1810653755,2.8474419068,3.2684099289,3.3871419516,4.72159253,5.436392884,2.765163271,2.7157726993,6.5852722966,4.9369550589,3.6692211087,4.0605773789,4.4607988115,6.3125624591,6.0633058888,3.0598327002,2.5885935501,3.5924325514,2.8851059039,2.7831059474,3.708123855,3.6036551798,3.0797548191,3.6544586251
"CXXC5",2.9133362394,3.6212838146,3.7092529114,3.6958858527,2.8880958612,3.2705413347,4.1873253624,3.5440436602,3.7011621857,2.6843765513,4.2962768775,3.2817294454,3.9150262399,4.5143350684,3.1696113624,4.7298149824,3.3720486324,3.6490511253,4.18021255,3.3163855052,3.396097562,3.0635383008,2.6038764214,4.0426728009,3.2394638879,4.2619634335,3.1582951984,3.6697392017,4.7410744986,3.8468362483,3.9085842292
"FAM21A",6.0183321066,3.1290397477,5.1598979677,2.9472851015,3.4435060468,2.1314271291,5.8717720725,2.1596493213,2.4294350967,2.5697150786,2.3995764101,2.2249516594,3.3103593909,2.5258126528,3.4955954605,2.9374118021,2.5340537036,2.6435835611,2.3414319083,3.2905916464,2.1220298262,3.9057800024,4.2986197796,3.0251173399,3.3943264168,3.9187500128,4.4429569187,2.92344243,2.3895993845,1.9130541972,3.4763338774
"CCNK",7.1677469654,6.7321356012,7.5153941719,7.9257070325,7.6036141552,7.1526055216,6.9159065454,7.1729420012,7.6727823654,7.0067216763,7.0166386134,6.9193198515,9.3243122951,5.9630372793,7.3775796494,8.734588166,11.2364629187,6.2002400324,8.0635357757,5.7747865913,7.1777255212,7.7186451556,7.6968710717,7.4976650821,6.6687876799,8.2819695711,7.1563684802,7.9198318422,7.4328061826,6.7657096759,6.7322872662
"LOC653765",4.6732700914,4.392080732,6.2013485235,5.8084262223,4.0464184989,4.4200030037,4.9638325787,5.7731900046,5.5681382642,3.9531952794,5.1504206844,4.8364117406,6.3912350889,4.1657865251,4.2126842432,5.9791335542,6.3619730916,3.7785768191,5.6145906224,4.7343267128,6.0579158181,5.3400097683,4.5723881845,4.2482531994,4.6621208004,5.6507554447,3.6455695086,5.9031292736,4.8909248686,4.9780531973,3.735209403
"LOC728002",6.3453176612,7.8354626337,7.5950331134,7.6835276595,6.4749661263,7.8662762245,6.3818641232,7.8575547257,7.2480821887,7.5540197754,6.6745559673,7.9637076204,5.3915374058,8.6068927021,6.2156707078,6.5109075375,5.536718635,7.8897573307,7.1847176939,7.1654960109,7.1685265396,7.8850235663,7.3022097692,7.0699833316,7.2999853607,6.641441505,7.37248016,7.2732310539,6.6145227813,7.7265518202,8.2418630004
"FKBP2",6.7425031736,6.1844292932,6.3622385351,6.7681061478,6.1090159327,6.8894249113,5.8020041635,5.9906903278,5.8910838994,5.6122528078,6.7632415746,6.3449956841,7.0871213679,6.6947877616,6.3010137488,5.4607736654,6.7743462126,6.3406419607,6.062632623,5.8042071844,6.8729588803,6.2260981241,5.7844160756,6.6842237309,5.3773147985,5.4041234938,5.2941177669,6.335871457,5.4941952686,6.469366076,6.4869864279
"TMEM9",11.0800965374,12.9104414558,8.7070191649,9.4864961251,10.7616055911,11.8037003396,10.7729044467,11.8208596036,11.8765946458,12.5836163102,10.5018645475,12.7367998312,2.9227469777,12.9376610704,11.9942241452,8.1801853856,3.2672998856,12.3923754471,10.395900689,11.7466404221,10.3163272565,10.1454526896,11.4702584432,10.5861420618,12.0861988029,10.1634901171,11.8255094434,10.6723973201,11.2470511538,12.4861532225,11.8506412128
"ACOX2",7.0287511574,7.1136044434,6.9698855134,7.3950376276,7.1357996262,7.1211944792,6.901198504,6.8388597036,7.2569886346,6.7457201772,6.9767424424,6.412418737,7.8206412201,6.0479621279,6.8813617453,7.558564055,8.7284447035,6.5410645822,7.0807003646,6.8903437135,7.7089016055,6.9763565063,7.1281691854,6.2616290224,7.2245470284,7.4039467631,6.8875131776,7.5800388936,6.9759281814,6.983349951,6.9695373651
"C10orf61",10.098291446,7.85963971,10.1921690644,10.7471472186,9.6759363537,10.3430049595,9.8771483969,10.5149969861,10.578890102,9.9125431791,9.6606141196,9.8218109271,9.9360515696,9.8970168769,8.9625859595,9.051428311,8.9949016211,8.7782104261,9.4514285109,9.4246886574,9.9302366704,9.6615921487,9.9100793629,7.6999490503,7.2145430823,7.8435580753,7.5672925417,8.0969550421,8.0185576328,7.649721639,8.8396777491
